compound_id	compound_name	compound_unii
178	TELITHROMYCIN	KI8H7H19WL
179	TEMOZOLOMIDE	YF1K15M17Y
180	THIOTEPA	905Z5W3GKH
181	TIGECYCLINE	70JE2N95KR
182	TINIDAZOLE	033KF7V46H
183	TIOPRONIN	C5W04GO61S
184	TRIFLURIDINE	RMW9V5RW38
185	VORICONAZOLE	JFU09I87TR
186	ECAMSULE	M94R1PM439
188	GADODIAMIDE	84F6U3J2R6
189	PERFLUBRON	Q1D0Q7R4D9
190	STIBOCAPTATE	9WCI9N7UUQ
191	AMINACRINE	78OY3Z0P7Z
192	AMINOHIPPURIC ACID	Y79XT83BJ9
193	BENZYL ALCOHOL	LKG8494WBH
196	CROTAMITON	D6S4O4XD0H
198	FURAZOLIDONE	5J9CPU3RE0
199	GLUCONIC ACID	R4R8J0Q44B
200	GUAIFENESIN	495W7451VQ
202	HYDROXYSTILBAMIDINE	39J262E49W
203	IFOSFAMIDE	UM20QQM95Y
204	IOCETAMIC ACID	FA675Q0E3E
205	IODAMIDE	4RII332O0R
207	IOXILAN	A4YJ7J11TG
208	ISOSORBIDE	WXR179L51S
210	METHENAMINE	J50OIX95QV
211	METRIZAMIDE	RHH3W8F1CO
212	NALIDIXIC ACID	3B91HWA56M
214	OCTINOXATE	4Y5P7MUD51
215	OCTOCRYLENE	5A68WGF6WM
216	OXYBENZONE	95OOS7VE0Y
217	PENTETIC ACID	7A314HQM0I
218	PERFLEXANE	FX3WJ41CMX
219	PHENSUXIMIDE	6WVL9C355G
220	PHENYL AMINOSALICYLATE	52936SIP7V
221	PHENYLACETIC ACID	ER5I1W795A
223	PIPOBROMAN	6Q99RDT97R
224	PROPOXYCAINE	EPD1EH7F53
225	QUINESTROL	JR0N7XD5GZ
227	SULBACTAM	S4TF6I2330
228	SULFAMETER	3L179F09D6
229	TETRACAINE	0619F35CGV
230	TRICLOSAN	4NM5039Y5X
231	TRIOXSALEN	Y6UY8OV51T
232	URSODIOL	724L30Y2QR
235	GADOTERIDOL	0199MV609F
237	ISOSULFAN BLUE INNER SALT	NS6Q291771
240	URACIL MUSTARD	W7KQ46GJ8U
243	ANHYDROUS DEXTROSE	5SL0G7R0OK
244	BENZOIN, (+/-)-	L7J6A1NE81
245	FLUORESCEIN	TPY09G7XIR
246	METHOXSALEN	U4VJ29L7BQ
247	BENZYL BENZOATE	N863NB338G
248	HYDROQUINONE	XV74C1N1AE
249	PIPERONYL BUTOXIDE	LWK91TU9AH
251	MENADIOL	VQ093653DO
252	MOXIDECTIN	NGU5H31YO9
254	EPRODISATE	6QFP76V7S7
256	PELUBIPROFEN	1619C79FVJ
257	PR-69	4BLU68P76A
259	RUBITECAN	H19C446XXB
260	CILENGITIDE	4EDF46E4GI
263	NOLATREXED	K75ZUN743Q
265	OSUTIDINE	YDB1AQ7N4L
266	TOCOPHERSOLAN	O03S90U1F2
270	METHAPYRILENE FUMARATE	KJ5I25TXYL
275	SULFABENZAMIDE	G58F8OPL4I
276	BEMOTRIZINOL	PWZ1720CBH
285	LIMAPROST	L02U804092
286	NOSCAPINE	8V32U4AOQU
